,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Won
5169,Invoker,Disruptor,Phantom Lancer,Bounty Hunter,Brewmaster,1
5170,Razor,Brewmaster,Outworld Devourer,Lion,Pudge,1
5171,Centaur Warrunner,Invoker,Dazzle,Wisp,Phantom Assassin,1
5172,Dark Seer,Shadow Fiend,Kunkka,Sniper,Tiny,1
5173,Tidehunter,Phantom Lancer,Batrider,Troll Warlord,Broodmother,1
5174,Pudge,Kunkka,Vengeful Spirit,Lifestealer,Windrunner,1
5175,Pudge,Nyx Assassin,Medusa,Sven,Nature's Prophet,1
5176,Storm Spirit,Invoker,Faceless Void,Weaver,Queen of Pain,1
5177,Outworld Devourer,Doom,Windrunner,Spirit Breaker,Viper,1
5178,Morphling,Witch Doctor,Luna,Tinker,Dazzle,1
5179,Lina,Dark Seer,Luna,Storm Spirit,Spirit Breaker,1
5180,Magnus,Anti-Mage,Invoker,Lich,Dark Seer,1
5181,Chen,Luna,Chaos Knight,Rubick,Clockwerk,1
5182,Spirit Breaker,Luna,Beastmaster,Jakiro,Crystal Maiden,1
5183,Jakiro,Undying,Brewmaster,Shadow Fiend,Nyx Assassin,1
5184,Tinker,Phantom Lancer,Ancient Apparition,Sniper,Keeper of the Light,1
5185,Kunkka,Doom,Lifestealer,Shadow Demon,Nyx Assassin,1
5186,Shadow Demon,Drow Ranger,Luna,Tiny,Lina,1
5187,Visage,Magnus,Beastmaster,Lich,Luna,1
5188,Disruptor,Drow Ranger,Lifestealer,Centaur Warrunner,Night Stalker,1
5189,Spectre,Omniknight,Magnus,Rubick,Sven,1
5190,Witch Doctor,Juggernaut,Lion,Phantom Lancer,Windrunner,1
5191,Axe,Windrunner,Invoker,Shadow Demon,Clinkz,1
5192,Queen of Pain,Drow Ranger,Witch Doctor,Earthshaker,Bounty Hunter,1
5193,Lycanthrope,Magnus,Night Stalker,Luna,Shadow Shaman,1
5194,Venomancer,Doom,Bounty Hunter,Luna,Nature's Prophet,1
5195,Jakiro,Anti-Mage,Skeleton King,Pudge,Axe,1
5196,Outworld Devourer,Axe,Enigma,Beastmaster,Phantom Lancer,1
5197,Outworld Devourer,Spectre,Magnus,Disruptor,Shadow Fiend,1
5198,Bounty Hunter,Treant Protector,Sven,Windrunner,Lina,1
5199,Clockwerk,Ursa,Enigma,Nature's Prophet,Batrider,1
5200,Lifestealer,Riki,Slardar,Leshrac,Kunkka,1
5201,Windrunner,Storm Spirit,Centaur Warrunner,Venomancer,Juggernaut,1
5202,Sniper,Enigma,Clinkz,Naga Siren,Earthshaker,1
5203,Windrunner,Spirit Breaker,Queen of Pain,Gyrocopter,Necrolyte,1
5204,Phantom Lancer,Huskar,Bounty Hunter,Keeper of the Light,Nature's Prophet,1
5205,Phantom Lancer,Venomancer,Earthshaker,Magnus,Storm Spirit,1
5206,Lifestealer,Bounty Hunter,Jakiro,Medusa,Puck,1
5207,Vengeful Spirit,Huskar,Dragon Knight,Magnus,Keeper of the Light,1
5208,Lifestealer,Lina,Lone Druid,Windrunner,Clockwerk,1
5209,Tinker,Pudge,Keeper of the Light,Tiny,Sniper,1
5210,Lich,Axe,Lina,Shadow Demon,Invoker,1
5211,Shadow Fiend,Lich,Tiny,Mirana,Nature's Prophet,1
5212,Enigma,Keeper of the Light,Gyrocopter,Phantom Lancer,Windrunner,1
5213,Undying,Axe,Earthshaker,Shadow Shaman,Invoker,1
5214,Sand King,Slark,Earthshaker,Queen of Pain,Witch Doctor,1
5215,Earthshaker,Drow Ranger,Medusa,Pudge,Nature's Prophet,1
5216,Necrolyte,Leshrac,Batrider,Storm Spirit,Lifestealer,1
5217,Enigma,Alchemist,Zeus,Gyrocopter,Shadow Demon,1
5218,Windrunner,Skeleton King,Warlock,Lifestealer,Tinker,1
5219,Pudge,Luna,Keeper of the Light,Bounty Hunter,Outworld Devourer,1
5220,Phantom Lancer,Shadow Demon,Beastmaster,Shadow Fiend,Mirana,1
5221,Earthshaker,Batrider,Zeus,Anti-Mage,Bounty Hunter,1
5222,Phantom Lancer,Keeper of the Light,Silencer,Omniknight,Outworld Devourer,1
5223,Queen of Pain,Mirana,Silencer,Sven,Phantom Lancer,1
5224,Nature's Prophet,Alchemist,Rubick,Windrunner,Spectre,1
5225,Broodmother,Timbersaw,Templar Assassin,Sand King,Tiny,1
5226,Beastmaster,Luna,Gyrocopter,Invoker,Sand King,1
5227,Gyrocopter,Ogre Magi,Invoker,Slark,Bounty Hunter,1
5228,Death Prophet,Tidehunter,Phantom Lancer,Nature's Prophet,Templar Assassin,1
5229,Rubick,Death Prophet,Tidehunter,Skeleton King,Shadow Shaman,1
5230,Warlock,Shadow Fiend,Tinker,Bounty Hunter,Gyrocopter,1
5231,Pudge,Mirana,Enigma,Bane,Phantom Lancer,1
5232,Clockwerk,Gyrocopter,Wisp,Pudge,Rubick,1
5233,Treant Protector,Nature's Prophet,Rubick,Kunkka,Jakiro,1
5234,Spirit Breaker,Queen of Pain,Silencer,Kunkka,Pudge,1
5235,Queen of Pain,Naga Siren,Venomancer,Keeper of the Light,Alchemist,1
5236,Slardar,Luna,Weaver,Invoker,Rubick,1
5237,Outworld Devourer,Treant Protector,Gyrocopter,Juggernaut,Shadow Demon,1
5238,Templar Assassin,Bounty Hunter,Timbersaw,Tiny,Spirit Breaker,1
5239,Undying,Gyrocopter,Templar Assassin,Dragon Knight,Zeus,1
5240,Windrunner,Lone Druid,Lich,Phantom Lancer,Warlock,1
5241,Nyx Assassin,Ursa,Sand King,Lone Druid,Enigma,1
5242,Drow Ranger,Warlock,Storm Spirit,Riki,Pudge,1
5243,Pudge,Brewmaster,Slark,Nyx Assassin,Disruptor,1
5244,Magnus,Vengeful Spirit,Ogre Magi,Outworld Devourer,Faceless Void,1
5245,Nyx Assassin,Juggernaut,Crystal Maiden,Disruptor,Mirana,1
5246,Phantom Lancer,Slark,Nyx Assassin,Crystal Maiden,Keeper of the Light,1
5247,Keeper of the Light,Phantom Lancer,Storm Spirit,Wisp,Nature's Prophet,1
5248,Weaver,Warlock,Gyrocopter,Lich,Enchantress,1
5249,Necrolyte,Drow Ranger,Death Prophet,Weaver,Bounty Hunter,1
5250,Rubick,Razor,Earthshaker,Windrunner,Axe,1
5251,Keeper of the Light,Batrider,Luna,Undying,Nature's Prophet,1
5252,Phantom Lancer,Vengeful Spirit,Keeper of the Light,Drow Ranger,Templar Assassin,1
5253,Magnus,Pudge,Mirana,Nature's Prophet,Weaver,1
5254,Invoker,Dark Seer,Troll Warlord,Lone Druid,Earthshaker,1
5255,Invoker,Tinker,Keeper of the Light,Skeleton King,Earthshaker,1
5256,Omniknight,Templar Assassin,Dark Seer,Spirit Breaker,Dragon Knight,1
5257,Bounty Hunter,Nature's Prophet,Witch Doctor,Nyx Assassin,Skeleton King,1
5258,Disruptor,Dragon Knight,Queen of Pain,Earthshaker,Tidehunter,1
5259,Rubick,Skeleton King,Faceless Void,Magnus,Outworld Devourer,1
5260,Gyrocopter,Windrunner,Medusa,Lifestealer,Crystal Maiden,1
5261,Lifestealer,Dazzle,Rubick,Necrolyte,Alchemist,1
5262,Sniper,Brewmaster,Drow Ranger,Lion,Rubick,1
5263,Kunkka,Keeper of the Light,Invoker,Phantom Lancer,Gyrocopter,1
5264,Crystal Maiden,Queen of Pain,Medusa,Earthshaker,Drow Ranger,1
5265,Pudge,Dazzle,Vengeful Spirit,Dragon Knight,Mirana,1
5266,Axe,Invoker,Mirana,Naga Siren,Lina,1
5267,Broodmother,Troll Warlord,Alchemist,Crystal Maiden,Invoker,1
5268,Queen of Pain,Invoker,Anti-Mage,Troll Warlord,Windrunner,1
5269,Warlock,Lina,Razor,Nyx Assassin,Pudge,1
5270,Windrunner,Phantom Lancer,Pudge,Enigma,Clinkz,1
5271,Death Prophet,Anti-Mage,Keeper of the Light,Pudge,Invoker,1
5272,Keeper of the Light,Shadow Shaman,Invoker,Spectre,Phantom Lancer,1
5273,Axe,Nyx Assassin,Enchantress,Sven,Weaver,1
5274,Invoker,Night Stalker,Gyrocopter,Ogre Magi,Nature's Prophet,1
5275,Leshrac,Centaur Warrunner,Alchemist,Pudge,Slark,1
5276,Invoker,Troll Warlord,Ursa,Dazzle,Mirana,1
5277,Pudge,Puck,Bloodseeker,Venomancer,Lifestealer,1
5278,Disruptor,Huskar,Night Stalker,Windrunner,Dark Seer,1
5279,Nyx Assassin,Morphling,Jakiro,Drow Ranger,Axe,1
5280,Visage,Keeper of the Light,Lone Druid,Weaver,Clinkz,1
5281,Phantom Lancer,Faceless Void,Drow Ranger,Pudge,Earthshaker,1
5282,Riki,Sand King,Bloodseeker,Tidehunter,Dark Seer,1
5283,Gyrocopter,Pudge,Chaos Knight,Wisp,Slark,1
5284,Enigma,Pudge,Jakiro,Dark Seer,Spectre,1
5285,Nyx Assassin,Nature's Prophet,Lifestealer,Pudge,Lina,1
5286,Puck,Brewmaster,Warlock,Windrunner,Troll Warlord,1
5287,Disruptor,Warlock,Bloodseeker,Sniper,Faceless Void,1
5288,Crystal Maiden,Night Stalker,Timbersaw,Axe,Beastmaster,1
5289,Pudge,Dragon Knight,Enchantress,Bounty Hunter,Lion,1
5290,Weaver,Queen of Pain,Dragon Knight,Phantom Lancer,Sand King,1
5291,Nyx Assassin,Beastmaster,Chen,Mirana,Anti-Mage,1
5292,Pudge,Slardar,Silencer,Keeper of the Light,Shadow Fiend,1
5293,Phantom Lancer,Nature's Prophet,Keeper of the Light,Windrunner,Invoker,1
5294,Windrunner,Sven,Dragon Knight,Dark Seer,Tinker,1
5295,Pudge,Bloodseeker,Juggernaut,Batrider,Slardar,1
5296,Nyx Assassin,Bounty Hunter,Pudge,Rubick,Brewmaster,1
5297,Silencer,Templar Assassin,Batrider,Phantom Lancer,Medusa,1
5298,Mirana,Alchemist,Beastmaster,Tiny,Witch Doctor,1
5299,Chen,Centaur Warrunner,Phantom Assassin,Bounty Hunter,Queen of Pain,1
5300,Rubick,Nyx Assassin,Crystal Maiden,Meepo,Shadow Fiend,1
5301,Dragon Knight,Axe,Luna,Ancient Apparition,Weaver,1
5302,Windrunner,Dark Seer,Drow Ranger,Rubick,Lion,1
5303,Sven,Keeper of the Light,Shadow Shaman,Doom,Ursa,1
5304,Phantom Lancer,Slardar,Crystal Maiden,Nyx Assassin,Invoker,1
5305,Chaos Knight,Crystal Maiden,Gyrocopter,Riki,Troll Warlord,1
5306,Shadow Shaman,Enigma,Phantom Assassin,Medusa,Beastmaster,1
5307,Witch Doctor,Faceless Void,Drow Ranger,Storm Spirit,Templar Assassin,1
5308,Death Prophet,Sand King,Windrunner,Puck,Skeleton King,1
5309,Invoker,Jakiro,Tinker,Slardar,Weaver,1
5310,Shadow Fiend,Ancient Apparition,Medusa,Death Prophet,Leshrac,1
5311,Troll Warlord,Ogre Magi,Lion,Slark,Tiny,1
5312,Clockwerk,Magnus,Skeleton King,Vengeful Spirit,Tiny,1
5313,Pudge,Mirana,Kunkka,Huskar,Nyx Assassin,1
5314,Sven,Rubick,Vengeful Spirit,Shadow Fiend,Shadow Demon,1
5315,Witch Doctor,Slark,Spectre,Zeus,Tidehunter,1
5316,Venomancer,Centaur Warrunner,Invoker,Chaos Knight,Lifestealer,1
5317,Night Stalker,Weaver,Witch Doctor,Doom,Axe,1
5318,Bane,Nature's Prophet,Invoker,Troll Warlord,Leshrac,1
5319,Silencer,Nyx Assassin,Kunkka,Pudge,Vengeful Spirit,1
5320,Shadow Fiend,Alchemist,Vengeful Spirit,Witch Doctor,Nyx Assassin,1
5321,Nyx Assassin,Lifestealer,Huskar,Shadow Fiend,Pugna,1
5322,Invoker,Naga Siren,Outworld Devourer,Rubick,Storm Spirit,1
5323,Leshrac,Queen of Pain,Clockwerk,Juggernaut,Axe,1
5324,Death Prophet,Brewmaster,Queen of Pain,Warlock,Chaos Knight,1
5325,Sand King,Faceless Void,Chaos Knight,Storm Spirit,Troll Warlord,1
5326,Alchemist,Pudge,Phantom Lancer,Dark Seer,Tidehunter,1
5327,Tiny,Phantom Lancer,Keeper of the Light,Faceless Void,Razor,1
5328,Wisp,Weaver,Pudge,Bounty Hunter,Morphling,1
5329,Sniper,Dark Seer,Magnus,Windrunner,Doom,1
5330,Treant Protector,Doom,Sniper,Pudge,Jakiro,1
5331,Windrunner,Lich,Kunkka,Tiny,Nature's Prophet,1
5332,Brewmaster,Queen of Pain,Drow Ranger,Vengeful Spirit,Rubick,1
5333,Silencer,Bounty Hunter,Sniper,Nature's Prophet,Crystal Maiden,1
5334,Nature's Prophet,Drow Ranger,Weaver,Shadow Fiend,Rubick,1
5335,Drow Ranger,Nature's Prophet,Windrunner,Visage,Lone Druid,1
5336,Invoker,Windrunner,Bounty Hunter,Medusa,Undying,1
5337,Viper,Timbersaw,Mirana,Sand King,Tinker,1
5338,Jakiro,Lifestealer,Storm Spirit,Windrunner,Sand King,1
5339,Faceless Void,Shadow Demon,Bounty Hunter,Lycanthrope,Pudge,1
5340,Invoker,Windrunner,Chaos Knight,Clinkz,Nyx Assassin,1
5341,Earthshaker,Ursa,Nyx Assassin,Tinker,Queen of Pain,1
5342,Ursa,Wisp,Spirit Breaker,Pudge,Lina,1
5343,Broodmother,Kunkka,Slardar,Spirit Breaker,Rubick,1
5344,Centaur Warrunner,Warlock,Clinkz,Axe,Spectre,1
5345,Shadow Fiend,Anti-Mage,Shadow Demon,Slardar,Viper,1
5346,Bounty Hunter,Queen of Pain,Magnus,Doom,Faceless Void,1
5347,Weaver,Tinker,Faceless Void,Dazzle,Nyx Assassin,1
5348,Centaur Warrunner,Timbersaw,Bane,Windrunner,Razor,1
5349,Medusa,Anti-Mage,Crystal Maiden,Bounty Hunter,Enigma,1
5350,Visage,Clinkz,Queen of Pain,Templar Assassin,Chen,1
5351,Chen,Gyrocopter,Luna,Skeleton King,Dragon Knight,1
5352,Slark,Leshrac,Doom,Night Stalker,Ancient Apparition,1
5353,Windrunner,Slark,Shadow Fiend,Templar Assassin,Tidehunter,1
5354,Ogre Magi,Shadow Fiend,Nyx Assassin,Windrunner,Skeleton King,1
5355,Clinkz,Witch Doctor,Shadow Shaman,Centaur Warrunner,Bloodseeker,1
5356,Pudge,Spirit Breaker,Drow Ranger,Vengeful Spirit,Nature's Prophet,1
5357,Wisp,Tiny,Queen of Pain,Witch Doctor,Nature's Prophet,1
5358,Lifestealer,Batrider,Shadow Fiend,Lina,Chen,1
5359,Clinkz,Chaos Knight,Ogre Magi,Magnus,Kunkka,1
5360,Axe,Shadow Fiend,Queen of Pain,Windrunner,Sven,1
5361,Gyrocopter,Clinkz,Tinker,Clockwerk,Brewmaster,1
5362,Lycanthrope,Lich,Outworld Devourer,Dark Seer,Anti-Mage,1
5363,Lycanthrope,Luna,Shadow Fiend,Bounty Hunter,Lion,1
5364,Enchantress,Necrolyte,Puck,Chaos Knight,Bounty Hunter,1
5365,Ursa,Necrolyte,Earthshaker,Lion,Lifestealer,1
5366,Storm Spirit,Nyx Assassin,Lifestealer,Sand King,Windrunner,1
5367,Morphling,Keeper of the Light,Queen of Pain,Naga Siren,Invoker,1
5368,Pudge,Magnus,Nature's Prophet,Phantom Assassin,Keeper of the Light,1
5369,Lifestealer,Sven,Venomancer,Mirana,Phantom Assassin,1
5370,Lifestealer,Crystal Maiden,Nyx Assassin,Sven,Shadow Fiend,1
5371,Juggernaut,Nyx Assassin,Doom,Leshrac,Rubick,1
5372,Sniper,Earthshaker,Dark Seer,Gyrocopter,Visage,1
5373,Shadow Fiend,Troll Warlord,Disruptor,Axe,Mirana,1
5374,Mirana,Alchemist,Bane,Nature's Prophet,Pudge,1
5375,Sniper,Faceless Void,Storm Spirit,Crystal Maiden,Omniknight,1
5376,Invoker,Windrunner,Keeper of the Light,Axe,Phantom Lancer,1
5377,Phantom Assassin,Bane,Magnus,Jakiro,Spectre,1
5378,Faceless Void,Silencer,Mirana,Windrunner,Batrider,1
5379,Enigma,Troll Warlord,Wisp,Beastmaster,Lion,1
5380,Vengeful Spirit,Invoker,Centaur Warrunner,Lifestealer,Bounty Hunter,1
5381,Vengeful Spirit,Shadow Shaman,Slark,Bane,Keeper of the Light,1
5382,Enigma,Night Stalker,Juggernaut,Bounty Hunter,Axe,1
5383,Night Stalker,Lifestealer,Vengeful Spirit,Drow Ranger,Windrunner,1
5384,Bane,Luna,Invoker,Crystal Maiden,Anti-Mage,1
5385,Shadow Shaman,Drow Ranger,Dragon Knight,Magnus,Bloodseeker,1
5386,Lone Druid,Necrolyte,Tiny,Warlock,Shadow Fiend,1
5387,Phantom Lancer,Axe,Crystal Maiden,Shadow Fiend,Queen of Pain,1
5388,Clinkz,Doom,Witch Doctor,Warlock,Luna,1
5389,Sniper,Phantom Lancer,Nature's Prophet,Dazzle,Tiny,1
5390,Batrider,Slark,Centaur Warrunner,Earthshaker,Invoker,1
5391,Ancient Apparition,Rubick,Shadow Fiend,Nature's Prophet,Spirit Breaker,1
5392,Phantom Lancer,Warlock,Drow Ranger,Wisp,Slark,1
5393,Lone Druid,Weaver,Rubick,Magnus,Mirana,1
5394,Faceless Void,Riki,Jakiro,Gyrocopter,Enigma,1
5395,Gyrocopter,Lion,Jakiro,Meepo,Invoker,1
5396,Bane,Batrider,Clockwerk,Queen of Pain,Phantom Assassin,1
5397,Pudge,Nyx Assassin,Queen of Pain,Slark,Drow Ranger,1
5398,Dark Seer,Luna,Storm Spirit,Slark,Mirana,1
5399,Lina,Crystal Maiden,Shadow Fiend,Phantom Assassin,Clinkz,1
5400,Leshrac,Batrider,Vengeful Spirit,Huskar,Sven,1
5401,Kunkka,Medusa,Queen of Pain,Enchantress,Slark,1
5402,Windrunner,Clockwerk,Kunkka,Pugna,Bounty Hunter,1
5403,Ancient Apparition,Puck,Bloodseeker,Phantom Lancer,Ogre Magi,1
5404,Templar Assassin,Luna,Magnus,Nyx Assassin,Dark Seer,1
5405,Dark Seer,Batrider,Bloodseeker,Sand King,Sniper,1
5406,Vengeful Spirit,Luna,Undying,Chen,Morphling,1
5407,Brewmaster,Sniper,Lifestealer,Dark Seer,Keeper of the Light,1
5408,Gyrocopter,Invoker,Keeper of the Light,Zeus,Timbersaw,1
5409,Juggernaut,Witch Doctor,Tidehunter,Dragon Knight,Troll Warlord,1
5410,Windrunner,Mirana,Phantom Lancer,Tinker,Nyx Assassin,1
5411,Lifestealer,Dazzle,Invoker,Kunkka,Lina,1
5412,Windrunner,Alchemist,Keeper of the Light,Dragon Knight,Pudge,1
5413,Morphling,Queen of Pain,Nyx Assassin,Skeleton King,Rubick,1
5414,Windrunner,Bounty Hunter,Keeper of the Light,Alchemist,Lifestealer,1
5415,Earthshaker,Shadow Fiend,Troll Warlord,Centaur Warrunner,Lich,1
5416,Troll Warlord,Windrunner,Treant Protector,Faceless Void,Dazzle,1
5417,Phantom Lancer,Keeper of the Light,Doom,Bounty Hunter,Invoker,1
5418,Enchantress,Brewmaster,Sand King,Lina,Bloodseeker,1
5419,Death Prophet,Windrunner,Disruptor,Chen,Lone Druid,1
5420,Troll Warlord,Queen of Pain,Spirit Breaker,Witch Doctor,Omniknight,1
5421,Ogre Magi,Treant Protector,Disruptor,Anti-Mage,Mirana,1
5422,Kunkka,Shadow Shaman,Nature's Prophet,Skeleton King,Undying,1
5423,Bounty Hunter,Alchemist,Huskar,Lich,Kunkka,1
5424,Alchemist,Kunkka,Puck,Shadow Demon,Windrunner,1
5425,Outworld Devourer,Nyx Assassin,Vengeful Spirit,Juggernaut,Windrunner,1
5426,Death Prophet,Windrunner,Doom,Jakiro,Luna,1
5427,Clockwerk,Anti-Mage,Witch Doctor,Shadow Fiend,Tidehunter,1
5428,Shadow Fiend,Rubick,Silencer,Beastmaster,Lina,1
5429,Brewmaster,Faceless Void,Medusa,Pudge,Lich,1
5430,Phantom Assassin,Weaver,Undying,Zeus,Disruptor,1
5431,Shadow Shaman,Silencer,Leshrac,Faceless Void,Shadow Fiend,1
5432,Dragon Knight,Morphling,Windrunner,Lina,Anti-Mage,1
5433,Sniper,Lone Druid,Undying,Visage,Puck,1
5434,Tiny,Nyx Assassin,Spirit Breaker,Razor,Lich,1
5435,Bounty Hunter,Lifestealer,Tinker,Night Stalker,Nyx Assassin,1
5436,Windrunner,Gyrocopter,Crystal Maiden,Phantom Lancer,Bloodseeker,1
5437,Pudge,Mirana,Lifestealer,Lion,Centaur Warrunner,1
5438,Ancient Apparition,Magnus,Crystal Maiden,Invoker,Phantom Lancer,1
5439,Zeus,Pudge,Night Stalker,Ancient Apparition,Spirit Breaker,1
5440,Nature's Prophet,Slardar,Shadow Demon,Bounty Hunter,Weaver,1
5441,Slark,Sven,Shadow Fiend,Sniper,Ancient Apparition,1
5442,Troll Warlord,Axe,Zeus,Lifestealer,Omniknight,1
5443,Clockwerk,Riki,Shadow Fiend,Warlock,Rubick,1
5444,Drow Ranger,Warlock,Leshrac,Mirana,Lina,1
5445,Sven,Vengeful Spirit,Enigma,Invoker,Windrunner,1
5446,Chaos Knight,Nature's Prophet,Bounty Hunter,Wisp,Shadow Shaman,1
5447,Lich,Weaver,Windrunner,Tidehunter,Dragon Knight,1
5448,Shadow Shaman,Ogre Magi,Nyx Assassin,Sniper,Bloodseeker,1
5449,Dazzle,Kunkka,Phantom Lancer,Tidehunter,Juggernaut,1
5450,Tidehunter,Rubick,Zeus,Drow Ranger,Nyx Assassin,1
5451,Nyx Assassin,Clockwerk,Gyrocopter,Drow Ranger,Pudge,1
5452,Queen of Pain,Keeper of the Light,Windrunner,Phantom Lancer,Shadow Shaman,1
5453,Disruptor,Lifestealer,Juggernaut,Lich,Pudge,1
5454,Anti-Mage,Silencer,Invoker,Undying,Juggernaut,1
5455,Medusa,Queen of Pain,Nature's Prophet,Windrunner,Undying,1
5456,Beastmaster,Kunkka,Faceless Void,Mirana,Shadow Fiend,1
5457,Lone Druid,Beastmaster,Slark,Bane,Puck,1
5458,Clockwerk,Razor,Gyrocopter,Venomancer,Rubick,1
5459,Visage,Ogre Magi,Shadow Fiend,Spirit Breaker,Disruptor,1
5460,Lifestealer,Clinkz,Gyrocopter,Tidehunter,Pudge,1
5461,Kunkka,Puck,Rubick,Silencer,Phantom Lancer,1
5462,Dazzle,Bane,Magnus,Brewmaster,Kunkka,1
5463,Bounty Hunter,Invoker,Juggernaut,Crystal Maiden,Shadow Demon,1
5464,Nyx Assassin,Bounty Hunter,Dragon Knight,Lion,Axe,1
5465,Phantom Assassin,Lich,Lone Druid,Beastmaster,Invoker,1
5466,Storm Spirit,Lion,Lone Druid,Slardar,Tinker,1
5467,Warlock,Doom,Sniper,Pugna,Luna,1
5468,Clockwerk,Silencer,Broodmother,Puck,Slardar,1
5469,Huskar,Rubick,Bounty Hunter,Shadow Demon,Kunkka,1
5470,Silencer,Kunkka,Slardar,Spirit Breaker,Wisp,1
5471,Pudge,Rubick,Weaver,Necrolyte,Riki,1
5472,Shadow Fiend,Kunkka,Nature's Prophet,Brewmaster,Ogre Magi,1
5473,Death Prophet,Lifestealer,Undying,Wisp,Clinkz,1
5474,Ogre Magi,Viper,Nature's Prophet,Morphling,Invoker,1
5475,Mirana,Jakiro,Troll Warlord,Undying,Weaver,1
5476,Bloodseeker,Nyx Assassin,Bounty Hunter,Dazzle,Sven,1
5477,Clinkz,Enchantress,Keeper of the Light,Luna,Pudge,1
5478,Pugna,Windrunner,Rubick,Faceless Void,Queen of Pain,1
5479,Kunkka,Windrunner,Ursa,Lion,Luna,1
5480,Alchemist,Sand King,Rubick,Queen of Pain,Juggernaut,1
5481,Nature's Prophet,Ancient Apparition,Brewmaster,Meepo,Invoker,1
5482,Keeper of the Light,Bloodseeker,Doom,Beastmaster,Venomancer,1
5483,Venomancer,Shadow Fiend,Tiny,Disruptor,Queen of Pain,1
5484,Nyx Assassin,Wisp,Batrider,Magnus,Troll Warlord,1
5485,Bounty Hunter,Dragon Knight,Warlock,Faceless Void,Riki,1
5486,Meepo,Spectre,Keeper of the Light,Tidehunter,Pudge,1
5487,Nature's Prophet,Luna,Rubick,Venomancer,Beastmaster,1
5488,Mirana,Lone Druid,Naga Siren,Bounty Hunter,Vengeful Spirit,1
5489,Witch Doctor,Phantom Assassin,Razor,Tinker,Dazzle,1
5490,Lifestealer,Night Stalker,Bounty Hunter,Morphling,Venomancer,1
5491,Rubick,Viper,Shadow Fiend,Venomancer,Mirana,1
5492,Bloodseeker,Riki,Leshrac,Tiny,Venomancer,1
5493,Beastmaster,Alchemist,Nyx Assassin,Gyrocopter,Shadow Fiend,1
5494,Invoker,Queen of Pain,Nyx Assassin,Morphling,Pudge,1
5495,Warlock,Doom,Ancient Apparition,Rubick,Faceless Void,1
5496,Keeper of the Light,Invoker,Lycanthrope,Skeleton King,Windrunner,1
5497,Venomancer,Silencer,Riki,Axe,Queen of Pain,1
5498,Pudge,Troll Warlord,Razor,Bounty Hunter,Kunkka,1
5499,Dark Seer,Silencer,Nature's Prophet,Razor,Windrunner,1
5500,Brewmaster,Lycanthrope,Dazzle,Slark,Axe,1
5501,Chaos Knight,Wisp,Storm Spirit,Faceless Void,Axe,1
5502,Shadow Fiend,Troll Warlord,Earthshaker,Chaos Knight,Tiny,1
5503,Magnus,Invoker,Disruptor,Ursa,Nature's Prophet,1
5504,Troll Warlord,Keeper of the Light,Gyrocopter,Pudge,Ogre Magi,1
5505,Ogre Magi,Naga Siren,Spectre,Rubick,Axe,1
5506,Doom,Tinker,Spectre,Leshrac,Bane,1
5507,Batrider,Keeper of the Light,Ogre Magi,Invoker,Drow Ranger,1
5508,Pudge,Axe,Sniper,Ancient Apparition,Juggernaut,1
5509,Sand King,Invoker,Dark Seer,Weaver,Kunkka,1
5510,Lina,Clockwerk,Storm Spirit,Nature's Prophet,Disruptor,1
5511,Batrider,Pugna,Witch Doctor,Drow Ranger,Pudge,1
5512,Drow Ranger,Witch Doctor,Luna,Pudge,Faceless Void,1
5513,Juggernaut,Pugna,Doom,Batrider,Luna,1
5514,Bane,Shadow Demon,Shadow Fiend,Morphling,Ogre Magi,1
5515,Bounty Hunter,Necrolyte,Nature's Prophet,Pugna,Tiny,1
5516,Invoker,Troll Warlord,Silencer,Ogre Magi,Slardar,1
5517,Pudge,Lycanthrope,Invoker,Sand King,Mirana,1
5518,Enigma,Batrider,Bounty Hunter,Tiny,Troll Warlord,1
5519,Windrunner,Nyx Assassin,Crystal Maiden,Bloodseeker,Chaos Knight,1
5520,Juggernaut,Jakiro,Invoker,Crystal Maiden,Tinker,1
5521,Jakiro,Faceless Void,Bounty Hunter,Templar Assassin,Necrolyte,1
5522,Invoker,Nyx Assassin,Lifestealer,Silencer,Lion,1
5523,Dark Seer,Naga Siren,Undying,Lion,Windrunner,1
5524,Earthshaker,Nyx Assassin,Leshrac,Meepo,Drow Ranger,1
5525,Keeper of the Light,Bounty Hunter,Pudge,Mirana,Nyx Assassin,1
5526,Storm Spirit,Pugna,Chaos Knight,Invoker,Sniper,1
5527,Kunkka,Shadow Fiend,Keeper of the Light,Troll Warlord,Bane,1
5528,Centaur Warrunner,Shadow Fiend,Keeper of the Light,Alchemist,Shadow Demon,1
5529,Shadow Shaman,Windrunner,Bloodseeker,Drow Ranger,Lone Druid,1
5530,Night Stalker,Earthshaker,Kunkka,Bounty Hunter,Tinker,1
5531,Storm Spirit,Outworld Devourer,Leshrac,Shadow Demon,Anti-Mage,1
5532,Tiny,Jakiro,Bounty Hunter,Doom,Riki,1
5533,Necrolyte,Storm Spirit,Weaver,Night Stalker,Pugna,1
5534,Kunkka,Dark Seer,Brewmaster,Dragon Knight,Sand King,1
5535,Tinker,Nyx Assassin,Lycanthrope,Riki,Jakiro,1
5536,Wisp,Lifestealer,Tinker,Lion,Enigma,1
5537,Mirana,Drow Ranger,Bane,Vengeful Spirit,Doom,1
